,METHOD_TO_METHOD,FIELD,INHERITANCE,IMPORT,STRUCTUAL_DEBT_INDEX,
com.netflix.hollow.api.producer.HollowProducerListener,6,2,0,10,0,
com.netflix.hollow.core.read.dataaccess.disabled.HollowDisabledDataAccess,0,0,1,1,0,
com.netflix.hollow.core.util.HollowWriteStateCreator,35,2,0,26,0,
com.netflix.hollow.tools.diff.exact.DiffEqualOrdinalFilter,29,5,0,3,0,
com.netflix.hollow.tools.combine.OrdinalRemapper,0,0,0,0,0,
com.netflix.hollow.core.write.HollowWriteRecord,0,0,0,0,0,
com.netflix.hollow.tools.compact.HollowCompactor,45,2,0,16,0,
com.netflix.hollow.tools.query.HollowFieldMatchQuery,23,1,0,10,0,
com.netflix.hollow.core.read.iterator.HollowMapEntryOrdinalIteratorImpl,3,1,1,3,0,
com.netflix.hollow.api.codegen.objects.HollowFactoryJavaGenerator,8,1,1,12,0,
com.netflix.hollow.api.client.HollowAnnouncementWatcher,3,2,0,4,0,
com.netflix.hollow.api.objects.delegate.HollowSetDelegate,0,0,0,0,0,
com.netflix.hollow.api.producer.IncrementalCycleListener,0,0,0,0,0,
com.netflix.hollow.api.common.ListenerSupport,0,0,0,0,0,
com.netflix.hollow.api.codegen.HollowConsumerJavaFileGenerator,16,2,1,11,0,
com.netflix.hollow.core.memory.VariableLengthDataFactory,1,0,0,2,0,
com.netflix.hollow.core.read.dataaccess.proxy.HollowProxyDataAccess,14,1,1,16,0,
com.netflix.hollow.api.codegen.HollowPOJOGenerator,15,1,0,10,0,
com.netflix.hollow.api.objects.provider.HollowFactory,0,0,0,0,0,
com.netflix.hollow.core.read.engine.list.HollowListTypeDataElements,20,5,0,5,0,
com.netflix.hollow.tools.history.HollowHistoricalStateCreator,113,1,0,32,0,
com.netflix.hollow.core.read.engine.set.PotentialMatchHollowSetOrdinalIterator,4,1,1,4,0,
com.netflix.hollow.core.schema.HollowCollectionSchema,0,0,1,1,0,
com.netflix.hollow.core.read.missing.DefaultMissingDataHandler,0,0,1,3,0,
com.netflix.hollow.core.write.objectmapper.RecordPrimaryKey,0,0,0,0,0,
