,METHOD_TO_METHOD,INHERITANCE,IMPORT,FIELD,STRUCTUAL_DEBT_INDEX,
com.google.common.collect.GeneralRange,32,0,1,0,0,
com.google.common.graph.UndirectedGraphConnections,6,1,3,0,0,
com.google.common.util.concurrent.RateLimiter,10,0,1,0,0,
com.google.common.hash.Murmur3_32HashFunction,10,2,4,2,0,
com.google.common.collect.Lists,48,1,4,2,0,
com.google.common.reflect.Types,39,0,7,7,0,
com.google.common.io.PatternFilenameFilter,1,0,1,0,0,
com.google.common.io.InsecureRecursiveDeleteException,0,0,0,0,0,
com.google.common.xml.XmlEscapers,15,0,2,3,0,
com.google.common.hash.ImmutableSupplier,0,0,0,0,0,
com.google.common.collect.Tables,95,4,3,6,0,
com.google.common.util.concurrent.ListenableFutureTask,2,1,0,1,0,
com.google.common.collect.TransformedListIterator,2,1,1,0,0,
com.google.common.util.concurrent.ImmediateFuture,3,1,0,1,0,
com.google.common.collect.ImmutableMapEntry,3,1,0,0,0,
com.google.common.io.LittleEndianDataInputStream,6,0,3,0,0,
com.google.common.graph.GraphConnections,0,0,0,0,0,
com.google.common.graph.UndirectedNetworkConnections,4,1,3,0,0,
com.google.common.util.concurrent.UncheckedExecutionException,0,0,0,0,0,
com.google.common.eventbus.SubscriberExceptionContext,4,0,0,1,0,
com.google.common.util.concurrent.Striped,13,2,7,4,0,
com.google.common.collect.NaturalOrdering,4,1,0,2,0,
com.google.common.cache.Cache,0,0,0,0,0,
com.google.common.graph.IncidentEdgeSet,15,0,0,1,0,
com.google.common.collect.ListMultimap,0,0,0,0,0,
com.google.common.graph.AbstractBaseGraph,52,1,7,0,0,
com.google.common.math.BigDecimalMath,1,1,0,0,0,
com.google.common.net.HttpHeaders,0,0,0,0,0,
com.google.common.primitives.ParseRequest,0,0,0,0,0,
com.google.common.primitives.Longs,21,1,1,0,0,
com.google.common.collect.ForwardingListIterator,0,1,0,0,0,
com.google.common.net.UrlEscapers,0,0,1,3,0,
com.google.common.primitives.ImmutableIntArray,8,0,1,0,0,
com.google.common.util.concurrent.ListeningExecutorService,0,0,0,0,0,
com.google.common.graph.UndirectedMultiNetworkConnections,10,1,3,0,0,
com.google.common.util.concurrent.AbstractTransformFuture,2,0,1,1,0,
com.google.common.hash.HashCode,9,0,3,0,0,
com.google.common.collect.UnmodifiableSortedMultiset,14,1,0,0,0,
com.google.common.collect.ConcurrentHashMultiset,39,1,2,1,0,
com.google.common.collect.ForwardingQueue,1,1,0,0,0,
com.google.common.html.HtmlEscapers,7,0,2,1,0,
com.google.common.collect.ForwardingMultiset,23,2,1,0,0,
