,METHOD_TO_METHOD,INHERITANCE,IMPORT,FIELD,STRUCTUAL_DEBT_INDEX,
org.mockito.internal.listeners.StubbingLookupNotifier,2,1,6,3,0,
org.mockito.internal.configuration.plugins.DefaultPluginSwitch,0,1,1,0,0,
org.mockito.internal.invocation.ArgumentMatcherAction,0,0,0,0,0,
org.mockito.invocation.MockHandler,0,0,0,0,0,
org.mockito.plugins.InstantiatorProvider,0,0,0,0,0,
org.mockito.stubbing.VoidAnswer5,0,0,0,0,0,
org.mockito.internal.progress.ArgumentMatcherStorage,0,0,0,0,0,
org.mockito.stubbing.VoidAnswer4,0,0,0,0,0,
org.mockito.internal.junit.DefaultTestFinishedEvent,0,1,0,0,0,
org.mockito.stubbing.VoidAnswer6,0,0,0,0,0,
org.mockito.internal.runners.InternalRunner,0,0,0,0,0,
org.mockito.internal.util.MockNameImpl,0,1,1,0,0,
org.mockito.BDDMockito,37,1,4,2,0,
org.mockito.internal.matchers.Equals,2,2,2,0,0,
org.mockito.internal.creation.bytebuddy.ByteBuddyCrossClassLoaderSerializationSupport,19,0,7,0,0,
org.mockito.creation.instance.InstantiationException,0,1,1,0,0,
org.mockito.internal.junit.JUnitTestRule,2,1,2,1,0,
org.mockito.internal.junit.MismatchReportingTestListener,4,1,2,1,0,
org.mockito.internal.creation.instance.InstantiatorProviderAdapter,2,1,5,1,0,
org.mockito.internal.creation.bytebuddy.ClassCreatingMockMaker,0,0,0,0,0,
org.mockito.internal.configuration.plugins.PluginRegistry,8,0,10,7,0,
org.mockito.internal.configuration.CaptorAnnotationProcessor,2,1,3,0,0,
org.mockito.configuration.AnnotationEngine,0,0,0,0,0,
org.mockito.internal.MockedConstructionImpl,4,1,5,2,0,
org.mockito.hamcrest.MockitoHamcrest,5,0,2,0,0,
org.mockito.invocation.Invocation,0,0,0,0,0,
org.mockito.internal.stubbing.StubbedInvocationMatcher,4,2,6,1,0,
org.mockito.configuration.DefaultMockitoConfiguration,0,1,3,0,0,
org.mockito.internal.exceptions.VerificationAwareInvocation,0,0,0,0,0,
org.mockito.verification.VerificationAfterDelay,0,0,0,0,0,
org.mockito.internal.session.DefaultMockitoSessionBuilder,1,1,6,1,0,
org.mockito.internal.creation.instance.ConstructorInstantiator,7,1,5,0,0,
org.mockito.internal.configuration.plugins.PluginLoader,4,0,1,2,0,
org.mockito.internal.configuration.injection.filter.TypeBasedCandidateFilter,1,1,0,1,0,
org.mockito.internal.handler.NullResultGuardian,5,1,4,1,0,
org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations,8,1,5,0,0,
org.mockito.junit.MockitoTestRule,0,0,0,0,0,
org.mockito.session.MockitoSessionLogger,0,0,0,0,0,
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator,19,1,5,2,0,
org.mockito.internal.creation.bytebuddy.SubclassLoader,0,0,0,0,0,
org.mockito.internal.matchers.NotNull,0,1,1,0,0,
org.mockito.internal.configuration.plugins.Plugins,7,0,8,1,0,
org.mockito.internal.configuration.injection.filter.MockCandidateFilter,0,0,0,0,0,
org.mockito.internal.creation.bytebuddy.InlineDelegateByteBuddyMockMaker,65,3,15,7,0,
org.mockito.internal.matchers.text.FormattedText,0,0,0,0,0,
org.mockito.runners.VerboseMockitoJUnitRunner,5,1,4,1,0,
org.mockito.internal.matchers.Contains,0,1,1,0,0,
org.mockito.internal.exceptions.stacktrace.DefaultStackTraceCleanerProvider,0,1,2,0,0,
org.mockito.plugins.StackTraceCleanerProvider,0,0,0,0,0,
org.mockito.internal.matchers.CapturingMatcher,1,3,1,0,0,
org.mockito.listeners.VerificationStartedEvent,0,0,0,0,0,
org.mockito.internal.matchers.EndsWith,0,1,1,0,0,
org.mockito.exceptions.misusing.UnfinishedStubbingException,0,1,1,0,0,
org.mockito.exceptions.verification.junit.ArgumentsAreDifferent,2,0,1,0,0,
org.mockito.internal.invocation.StubInfoImpl,1,1,3,1,0,
org.mockito.internal.matchers.CapturesArguments,0,0,0,0,0,
org.mockito.internal.verification.VerificationDataImpl,4,1,5,2,0,
org.mockito.internal.configuration.injection.PropertyAndSetterInjection,10,1,8,2,0,
org.mockito.internal.progress.ThreadSafeMockingProgress,0,0,0,0,0,
org.mockito.MockingDetails,0,0,0,0,0,
org.mockito.internal.util.concurrent.WeakConcurrentMap,0,0,0,0,0,
org.mockito.internal.exceptions.util.ScenarioPrinter,2,0,1,0,0,
